Telescope&Diameter&Instrument&Wavelength&Resol&pixscaleDetector
ALMA&  & Band3 & 3000 & 0.075 &
 &  & Band4 & 2000 & 0.050 &
 &  & Band5  & 1100 & 0.030 &
 &   & Band6  & 1000 & 0.034 &
 &   & Band7  & 700 & 0.060 &
 &   & Band8  & 450 & 0.040 &
 &   & Band9  & 350 & 0.030 &
E-ELT&  39 & METIS& 3.45 & 0.022 & 8.0
 &   &  & 4.75 & 0.031 & 8.0
 &   &  & 8.7  & 0.056 & 21.2
 &  &   & 10.3 & 0.066 & 21.2
 &    &  & 11.6 & 0.075 & 21.2
JWST&  6.5 & NIRCam & 2.2 & 0.085 & 31
 &   &  & 3.5 & 0.136 & 63
 &   &  & 4.8 & 0.186 & 63
 &   & MIRI & 5 & 0.194 & 110
 &  &  & 8.7 & 0.337 & 110
 &   &  & 10.3 & 0.399 & 110
 &   &  & 11.6 & 0.449 & 110
 &   &  & 15 & 0.581 & 110
 &   &  & 20 & 0.774 & 110
 &   &  & 25 & 0.968 & 110
GMT&  24.5 & NIRMOS & 1.6  & 0.016 & 67.0
 & &  & 2.2 &  0.023 & 67.0
 & &   & 3.45 & 0.035 & 67.0
 & &  & 4.75 & 0.049 & 67.0
 & & MIISE & 3.45 & 0.035 & 14.8
 & &  & 4.75 & 0.049 & 20.4
 & &  & 8.7 &  0.089 & 37.3
 & &  & 10.3 & 0.106 & 44.1
 & &  & 11.6 & 0.119 & 49.7
TAO&  6.5 & MIMIZUKU & 20 & 0.774 & 110
 &   &   & 25 & 0.968 & 110
 &    &  & 30 & 1.161 & 176
 &   &  & 35 & 1.355 & 176
TMT&  30 & IRIS & 2.2 & 0.018 & 4.0
&   & MICHI & 3.45 & 0.029 & 11.9
&  &  & 4.75 & 0.040 & 11.9
&   &  & 8.7 & 0.073 & 27.5
&   &  & 10.3 & 0.086 & 27.5
&   &  & 11.6 & 0.097 & 27.5
VLTI&  200 & MATISSE & 3.5 & 0.004 &
&   &  & 4.8 & 0.006 &
&   &  & 8.7 & 0.011 &
&   &  & 10.3 & 0.013 &
&   &  & 11.6 & 0.015 & 
&   &  & 12.5 & 0.016 &
&       & AMBER/VSI & 2.2 & 0.003 &

  
